Bandeja,Date,Temperature
Bandeja 1,2015-06-03 01:24:00,24.88524997
Bandeja 1,2015-06-03 01:39:00,24.61243533
Bandeja 1,2015-06-03 01:54:00,24.01850538
Bandeja 1,2015-06-03 02:09:00,23.78897329
Bandeja 1,2015-06-03 02:24:00,23.60488452
Bandeja 1,2015-06-03 02:39:00,23.37417548
Bandeja 1,2015-06-03 02:54:00,23.23542233
Bandeja 1,2015-06-03 03:09:00,23.14278063
Bandeja 1,2015-06-03 03:24:00,23.42037142
Bandeja 1,2015-06-03 03:39:00,23.18911556
Bandeja 1,2015-06-03 03:54:00,23.14278063
Bandeja 1,2015-06-03 04:09:00,23.18911556
Bandeja 1,2015-06-03 04:24:00,23.18911556
Bandeja 1,2015-06-03 04:39:00,23.23542233
Bandeja 1,2015-06-03 04:54:00,22.95715561
Bandeja 1,2015-06-03 05:09:00,23.09641735
Bandeja 1,2015-06-03 05:24:00,23.55879648
Bandeja 1,2015-06-03 05:39:00,23.60488452
Bandeja 1,2015-06-03 05:54:00,23.05002554
Bandeja 1,2015-06-03 06:09:00,22.81763218
Bandeja 1,2015-06-03 06:24:00,22.81763218
Bandeja 1,2015-06-03 06:39:00,22.67784214
Bandeja 1,2015-06-03 06:54:00,22.49103214
Bandeja 1,2015-06-03 07:09:00,22.25682296
Bandeja 1,2015-06-03 07:24:00,22.06888402
Bandeja 1,2015-06-03 07:39:00,21.92758871
Bandeja 1,2015-06-03 07:54:00,21.83322667
Bandeja 1,2015-06-03 08:09:00,21.7387308
Bandeja 1,2015-06-03 08:24:00,21.7387308
Bandeja 1,2015-06-03 08:39:00,21.83322667
Bandeja 1,2015-06-03 08:54:00,21.7387308
Bandeja 1,2015-06-03 09:09:00,21.16886306
Bandeja 1,2015-06-03 09:24:00,21.69143221
Bandeja 1,2015-06-03 09:39:00,21.83322667
Bandeja 1,2015-06-03 09:54:00,21.69143221
Bandeja 1,2015-06-03 10:09:00,21.26419267
Bandeja 1,2015-06-03 10:24:00,21.02559808
Bandeja 1,2015-06-03 10:39:00,21.02559808
Bandeja 1,2015-06-03 10:54:00,21.40692014
Bandeja 1,2015-06-03 11:09:00,21.35937966
Bandeja 1,2015-06-03 11:24:00,21.7387308
Bandeja 1,2015-06-03 11:39:00,22.44425284
Bandeja 1,2015-06-03 11:54:00,23.32795211
Bandeja 1,2015-06-03 12:09:00,24.293125
Bandeja 1,2015-06-03 12:24:00,25.65417088
Bandeja 1,2015-06-03 12:39:00,27.75523355
Bandeja 1,2015-06-03 12:54:00,29.39321576
Bandeja 1,2015-06-03 13:09:00,30.89459659
Bandeja 1,2015-06-03 13:24:00,30.54125836
Bandeja 1,2015-06-03 13:39:00,31.9562336
Bandeja 1,2015-06-03 13:54:00,32.66627866
Bandeja 1,2015-06-03 14:09:00,35.17762726
Bandeja 1,2015-06-03 14:24:00,34.49988264
Bandeja 1,2015-06-03 14:39:00,35.63201699
Bandeja 1,2015-06-03 14:54:00,38.83872094
Bandeja 1,2015-06-03 15:09:00,41.66143323
Bandeja 1,2015-06-03 15:24:00,38.93387938
Bandeja 1,2015-06-03 15:39:00,40.08729884
Bandeja 1,2015-06-03 15:54:00,40.77059464
Bandeja 1,2015-06-03 16:09:00,41.91147672
Bandeja 1,2015-06-03 16:24:00,38.55408489
Bandeja 1,2015-06-03 16:39:00,38.4122299
Bandeja 1,2015-06-03 16:54:00,39.36387455
Bandeja 1,2015-06-03 17:09:00,41.31329107
Bandeja 1,2015-06-03 17:24:00,42.31398519
Bandeja 1,2015-06-03 17:39:00,38.08240133
Bandeja 1,2015-06-03 17:54:00,41.86137532
Bandeja 1,2015-06-03 18:09:00,41.81132045
Bandeja 1,2015-06-03 18:24:00,31.73478046
Bandeja 1,2015-06-03 18:39:00,31.15973168
Bandeja 1,2015-06-03 18:54:00,31.42502324
Bandeja 1,2015-06-03 19:09:00,33.82619803
Bandeja 1,2015-06-03 19:24:00,34.22995611
Bandeja 1,2015-06-03 19:39:00,34.81562071
Bandeja 1,2015-06-03 19:54:00,35.58647928
Bandeja 1,2015-06-03 20:09:00,36.18028532
Bandeja 1,2015-06-03 20:24:00,36.13446424
Bandeja 1,2015-06-03 20:39:00,35.40455091
Bandeja 1,2015-06-03 20:54:00,35.40455091
Bandeja 1,2015-06-03 21:09:00,34.99646356
Bandeja 1,2015-06-03 21:24:00,33.73664706
Bandeja 1,2015-06-03 21:39:00,32.97772905
Bandeja 1,2015-06-03 21:54:00,32.35534553
Bandeja 1,2015-06-03 22:09:00,31.11553269
Bandeja 1,2015-06-03 22:24:00,30.27633497
Bandeja 1,2015-06-03 22:39:00,29.21649664
Bandeja 1,2015-06-03 22:54:00,28.24317285
Bandeja 1,2015-06-03 23:09:00,27.31063852
Bandeja 1,2015-06-03 23:24:00,26.55208
Bandeja 1,2015-06-03 23:39:00,26.10394916
Bandeja 1,2015-06-03 23:54:00,25.78928821
Bandeja 1,2015-06-04 00:09:00,25.92424577
Bandeja 1,2015-06-04 00:24:00,25.60909541
Bandeja 1,2015-06-04 00:39:00,25.42860688
Bandeja 1,2015-06-04 00:54:00,25.24781091
Bandeja 1,2015-06-04 01:09:00,25.02136584
Bandeja 1,2015-06-04 01:24:00,24.61243533
Bandeja 1,2015-06-04 01:39:00,24.7034616
Bandeja 1,2015-06-04 01:54:00,24.97601499
Bandeja 1,2015-06-04 02:09:00,24.293125
Bandeja 1,2015-06-04 02:24:00,24.15592467
Bandeja 1,2015-06-04 02:39:00,23.83493056
Bandeja 1,2015-06-04 02:54:00,23.97264945
Bandeja 1,2015-06-04 03:09:00,24.33881064
Bandeja 1,2015-06-04 03:24:00,24.24741558
Bandeja 1,2015-06-04 03:39:00,24.15592467
Bandeja 1,2015-06-04 03:54:00,24.15592467
Bandeja 1,2015-06-04 04:09:00,24.06433645
Bandeja 1,2015-06-04 04:24:00,24.15592467
Bandeja 1,2015-06-04 04:39:00,23.88086222
Bandeja 1,2015-06-04 04:54:00,23.88086222
Bandeja 1,2015-06-04 05:09:00,23.97264945
Bandeja 1,2015-06-04 05:24:00,23.74299024
Bandeja 1,2015-06-04 05:39:00,23.78897329
Bandeja 1,2015-06-04 05:54:00,23.74299024
Bandeja 1,2015-06-04 06:09:00,23.60488452
Bandeja 1,2015-06-04 06:24:00,23.60488452
Bandeja 1,2015-06-04 06:39:00,23.42037142
Bandeja 1,2015-06-04 06:54:00,23.09641735
Bandeja 1,2015-06-04 07:09:00,23.28170111
Bandeja 1,2015-06-04 07:24:00,23.37417548
Bandeja 1,2015-06-04 07:39:00,23.42037142
Bandeja 1,2015-06-04 07:54:00,23.32795211
Bandeja 1,2015-06-04 08:09:00,23.18911556
Bandeja 1,2015-06-04 08:24:00,23.18911556
Bandeja 1,2015-06-04 08:39:00,23.00360502
Bandeja 1,2015-06-04 08:54:00,23.05002554
Bandeja 1,2015-06-04 09:09:00,23.23542233
Bandeja 1,2015-06-04 09:24:00,23.28170111
Bandeja 1,2015-06-04 09:39:00,23.18911556
Bandeja 1,2015-06-04 09:54:00,23.14278063
Bandeja 1,2015-06-04 10:09:00,23.00360502
Bandeja 1,2015-06-04 10:24:00,22.91067712
Bandeja 1,2015-06-04 10:39:00,22.72446875
Bandeja 1,2015-06-04 10:54:00,22.72446875
Bandeja 1,2015-06-04 11:09:00,22.63118535
Bandeja 1,2015-06-04 11:24:00,22.95715561
Bandeja 1,2015-06-04 11:39:00,23.23542233
Bandeja 1,2015-06-04 11:54:00,24.79439933
Bandeja 1,2015-06-04 12:09:00,25.96919697
Bandeja 1,2015-06-04 12:24:00,28.86286961
Bandeja 1,2015-06-04 12:39:00,31.64624754
Bandeja 1,2015-06-04 12:54:00,33.60243218
Bandeja 1,2015-06-04 13:09:00,31.69051073
Bandeja 1,2015-06-04 13:24:00,34.45485083
Bandeja 1,2015-06-04 13:39:00,35.72316042
Bandeja 1,2015-06-04 13:54:00,36.87068018
Bandeja 1,2015-06-04 14:09:00,37.05580662
Bandeja 1,2015-06-04 14:24:00,35.31371764
Bandeja 1,2015-06-04 14:39:00,37.10215845
Bandeja 1,2015-06-04 14:54:00,37.24138541
Bandeja 1,2015-06-04 15:09:00,36.31789813
Bandeja 1,2015-06-04 15:24:00,38.79119463
Bandeja 1,2015-06-04 15:39:00,42.82146796
Bandeja 1,2015-06-04 15:54:00,45.92347675
Bandeja 1,2015-06-04 16:09:00,43.85161809
Bandeja 1,2015-06-04 16:24:00,41.01662245
Bandeja 1,2015-06-04 16:39:00,40.62348964
Bandeja 1,2015-06-04 16:54:00,38.69624692
Bandeja 1,2015-06-04 17:09:00,40.52562979
Bandeja 1,2015-06-04 17:24:00,45.11625897
Bandeja 1,2015-06-04 17:39:00,46.41433246
Bandeja 1,2015-06-04 17:54:00,46.35954567
Bandeja 1,2015-06-04 18:09:00,45.86924358
Bandeja 1,2015-06-04 18:24:00,47.974375
Bandeja 1,2015-06-04 18:39:00,47.02114748
